Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
BB McCullum,,,,26.5412844,2893,127.3327465,
R Dravid,,,,26.51219512,2174,113.3472367,
MS Dhoni,,,,26.33529412,4477,134.9306811,
RV Uthappa,,,,26.15294118,4446,127.3195876,
GC Smith,,,,25.48275862,739,106.9464544,
SV Samson,,,,25.39772727,2235,129.3402778,
A Hales,,,,25.33333333,152,127.7310924,
KC Sangakkara,,,,24.80882353,1687,118.4691011,
P Shaw,,,,24.64,616,141.6091954,
HH Gibbs,,,,24.61111111,886,105.8542413,
DA Miller,,,,24.35064935,1875,136.2645349,
MK Pandey,,,,24.13445378,2872,118.4329897,
AT Rayudu,,,,24.10144928,3326,124.0581872,
KK Nair,,,,23.33333333,1470,126.7241379,
JJ Roy,,,,23.25,186,133.8129496,
DPMD Jayawardene,,,,23.17948718,1808,118.7910644,
MJ Lumb,,,,23.16666667,278,140.4040404,
OA Shah,,,,23,506,124.9382716,
KD Karthik,,,,22.7654321,3688,127.6124567,
M Vohra,,,,22.57777778,1016,127,
S Gill,,,,22.47826087,517,134.6354167,
SA Asnodkar,,,,22.26315789,423,120.1704545,
S Badrinath,,,,22.16923077,1441,115.7429719,
SM Katich,,,,21.90909091,241,126.1780105,
AP Majumdar,,,,21.75,87,112.987013,
Ishan Kishan,,,,21.54545455,711,130.2197802,
Kamran Akmal,,,,21.33333333,128,164.1025641,
UT Khawaja,,,,21.16666667,127,120.952381,
