batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes
RJ Quiney,105,103,98.0952381,14.71428571,1,0,13,3
R Rampaul,52,51,98.07692308,7.285714286,0,0,3,2
MA Starc,98,96,97.95918367,8.727272727,0,0,12,0
N Saini,143,140,97.9020979,14,1,0,16,0
CR Woakes,47,46,97.87234043,6.571428571,0,0,4,1
SB Styris,134,131,97.76119403,13.1,0,0,11,3
AB Barath,43,42,97.6744186,14,0,0,5,1
Niraj Patel,124,121,97.58064516,20.16666667,1,0,15,1
CA Pujara,403,390,96.77419355,17.72727273,1,0,51,4
C Munro,31,30,96.77419355,10,0,0,4,0
JDP Oram,110,106,96.36363636,9.636363636,0,0,6,5
KB Arun Karthik,53,51,96.22641509,6.375,0,0,6,1
MG Johnson,157,151,96.17834395,5.807692308,0,0,8,7
J Arunkumar,24,23,95.83333333,7.666666667,0,0,5,0
UBT Chand,314,300,95.54140127,15,1,0,32,9
NJ Maddinson,21,20,95.23809524,6.666666667,0,0,4,0
MM Patel,41,39,95.12195122,3.25,0,0,5,0
PR Shah,97,92,94.84536082,10.22222222,0,0,9,2
DS Lehmann,19,18,94.73684211,9,0,0,3,0
RV Gomez,53,50,94.33962264,5.555555556,0,0,5,1
R Ashwin,246,231,93.90243902,6.416666667,0,0,22,2
GR Napier,16,15,93.75,15,0,0,1,0
M Klinger,78,73,93.58974359,18.25,0,0,9,0
RR Sarwan,78,73,93.58974359,18.25,0,0,6,1
Basil Thampi,30,28,93.33333333,5.6,0,0,1,1
SB Jakati,30,28,93.33333333,5.6,0,0,3,0
MC Juneja,134,125,93.28358209,17.85714286,0,0,11,1
SP Goswami,260,241,92.69230769,15.0625,1,0,26,2
JJ Bumrah,27,25,92.59259259,4.166666667,0,0,1,1
MN Samuels,174,161,92.52873563,11.5,0,0,9,7
KW Richardson,39,36,92.30769231,9,0,0,2,1
B Sumanth,38,35,92.10526316,8.75,0,0,3,0
L Ronchi,37,34,91.89189189,6.8,0,0,6,1
Anirudh Singh,69,63,91.30434783,15.75,0,0,6,1
JDS Neesham,46,42,91.30434783,14,0,0,3,1
DE Bollinger,23,21,91.30434783,5.25,0,0,1,1
K Goel,239,218,91.21338912,13.625,0,0,17,9
DJ Jacobs,101,92,91.08910891,13.14285714,0,0,10,4
Kuldeep Yadav,22,20,90.90909091,10,0,0,2,0
SK Warne,219,198,90.4109589,7.333333333,0,0,14,6
P Dogra,141,127,90.07092199,10.58333333,0,0,4,5
R McLaren,178,159,89.3258427,12.23076923,1,0,14,1
DS Kulkarni,101,90,89.10891089,5.625,0,0,6,2
A Mishra,382,340,89.0052356,6.93877551,0,0,28,5
CK Langeveldt,9,8,88.88888889,4,0,0,0,1
SW Tait,26,23,88.46153846,4.6,0,0,1,1
AN Ghosh,8,7,87.5,3.5,0,0,1,0
GH Vihari,323,280,86.6873065,13.33333333,0,0,23,1
R Sharma,77,66,85.71428571,3.473684211,0,0,5,3
SS Shaikh,7,6,85.71428571,6,0,0,1,0
BA Bhatt,7,6,85.71428571,3,0,0,0,1
SL Malinga,103,88,85.4368932,4.4,0,0,6,5
BMAJ Mendis,27,23,85.18518519,7.666666667,0,0,0,0
Parvez Rasool,20,17,85,4.25,0,0,1,0
SB Bangar,58,49,84.48275862,7,0,0,1,3
KC Cariappa,18,15,83.33333333,3.75,0,0,0,1
Z Khan,141,117,82.9787234,4.333333333,0,0,11,2
A Mukund,23,19,82.60869565,9.5,0,0,1,0
R Shukla,23,19,82.60869565,4.75,0,0,2,0
CJ Ferguson,119,98,82.35294118,12.25,0,0,9,0
VR Aaron,56,46,82.14285714,5.111111111,0,0,2,2
S Sriram,38,31,81.57894737,15.5,0,0,3,0
K Rabada,68,55,80.88235294,18.33333333,0,0,5,1
CA Ingram,26,21,80.76923077,7,0,0,3,0
AG Paunikar,61,49,80.32786885,9.8,0,0,9,0
FH Edwards,5,4,80,2,0,0,0,0
GD McGrath,5,4,80,2,0,0,1,0
WD Parnell,80,63,78.75,5.25,0,0,5,1
M Rawat,70,55,78.57142857,5,0,0,4,1
AA Bilakhia,88,69,78.40909091,9.857142857,0,0,5,0
Ankit Soni,9,7,77.77777778,2.333333333,0,0,0,1
SN Thakur,9,7,77.77777778,1.75,0,0,1,0
Harpreet Singh,26,20,76.92307692,6.666666667,0,0,0,0
D du Preez,13,10,76.92307692,10,0,0,0,0
J Theron,13,10,76.92307692,2.5,0,0,1,0
Anureet Singh,43,33,76.74418605,4.714285714,0,0,2,1
I Sharma,59,45,76.27118644,2.647058824,0,0,3,1
Mohammad Hafeez,84,64,76.19047619,8,0,0,7,2
IR Jaggi,100,76,76,10.85714286,0,0,7,0
S Chanderpaul,33,25,75.75757576,8.333333333,0,0,4,0
AA Noffke,12,9,75,9,0,0,1,0
Washington Sundar,12,9,75,1.8,0,0,0,0
S Tyagi,4,3,75,3,0,0,0,0
JE Taylor,4,3,75,1.5,0,0,0,0
WA Mota,76,56,73.68421053,7,0,0,3,0
DR Martyn,26,19,73.07692308,19,0,0,1,0
Vishnu Vinod,26,19,73.07692308,6.333333333,0,0,1,1
TM Srivastava,11,8,72.72727273,2.666666667,0,0,0,0
TS Mills,11,8,72.72727273,2.666666667,0,0,0,1
Jaskaran Singh,11,8,72.72727273,2,0,0,0,0
DJ Thornely,54,39,72.22222222,9.75,0,0,5,2
Sandeep Sharma,36,26,72.22222222,2.363636364,0,0,1,0
L Balaji,50,36,72,2.769230769,0,0,2,1
Imran Tahir,25,18,72,3,0,0,3,0
A Kumble,49,35,71.42857143,2.333333333,0,0,4,0
AD Nath,28,20,71.42857143,5,0,0,1,0
C Madan,21,15,71.42857143,15,0,0,4,0
AG Murtaza,14,10,71.42857143,3.333333333,0,0,1,0
A Chopra,75,53,70.66666667,8.833333333,0,0,7,0
Karanveer Singh,17,12,70.58823529,3,0,0,1,0
RT Ponting,129,91,70.54263566,10.11111111,0,0,7,2
Yashpal Singh,67,47,70.14925373,11.75,0,0,5,0
NS Naik,33,23,69.6969697,11.5,0,0,1,0
S Kaul,13,9,69.23076923,3,0,0,0,0
SK Trivedi,61,42,68.85245902,3,0,0,3,1
T Henderson,16,11,68.75,5.5,0,0,0,1
RP Singh,78,52,66.66666667,1.857142857,0,0,2,1
PJ Sangwan,36,24,66.66666667,2,0,0,1,0
MS Wade,33,22,66.66666667,7.333333333,0,0,0,0
M Muralitharan,30,20,66.66666667,2.222222222,0,0,1,0
CK Kapugedera,24,16,66.66666667,5.333333333,0,0,0,0
Mohammad Nabi,3,2,66.66666667,2,0,0,0,0
SB Wagh,3,2,66.66666667,1,0,0,0,0
A Nehra,63,41,65.07936508,2.411764706,0,0,3,1
SM Harwood,14,9,64.28571429,4.5,0,0,0,0
T Thushara,19,12,63.15789474,3,0,0,0,0
TA Boult,8,5,62.5,5,0,0,0,0
A Zampa,8,5,62.5,2.5,0,0,1,0
Swapnil Singh,20,12,60,4,0,0,0,0
Kamran Khan,5,3,60,3,0,0,0,0
CJ Jordan,5,3,60,1.5,0,0,0,0
S Sreesanth,57,34,59.64912281,2.833333333,0,0,7,0
X Thalaivan Sargunam,17,10,58.82352941,10,0,0,0,0
SMSM Senanayake,17,10,58.82352941,2.5,0,0,0,0
AF Milne,12,7,58.33333333,2.333333333,0,0,0,0
Pankaj Singh,12,7,58.33333333,1.4,0,0,0,0
M Ntini,19,11,57.89473684,5.5,0,0,2,0
A Chandila,7,4,57.14285714,2,0,0,0,0
A Uniyal,7,4,57.14285714,2,0,0,0,0
T Kohli,20,11,55,3.666666667,0,0,0,1
VY Mahesh,28,15,53.57142857,3,0,0,0,0
CJ McKay,15,8,53.33333333,8,0,0,0,0
AB Dinda,50,26,52,1.625,0,0,2,0
S Badree,25,13,52,2.6,0,0,0,0
S Gopal,27,14,51.85185185,4.666666667,0,0,1,0
YS Chahal,29,15,51.72413793,1.875,0,0,0,0
PSP Handscomb,12,6,50,6,0,0,0,0
J Yadav,12,6,50,3,0,0,0,0
R Ninan,6,3,50,3,0,0,0,0
Mohammad Asif,6,3,50,1.5,0,0,0,0
BAW Mendis,6,3,50,1,0,0,0,0
S Randiv,4,2,50,2,0,0,0,0
KP Appanna,4,2,50,0.666666667,0,0,0,0
M de Lange,2,1,50,1,0,0,0,0
PM Sarvesh Kumar,2,1,50,1,0,0,0,0
SE Bond,2,1,50,1,0,0,0,0
UA Birla,15,7,46.66666667,7,0,0,1,0
PV Tambe,39,18,46.15384615,3,0,0,1,0
AS Rajpoot,13,6,46.15384615,3,0,0,1,0
B Laughlin,9,4,44.44444444,2,0,0,0,0
Younis Khan,7,3,42.85714286,3,0,0,0,0
H Das,5,2,40,2,0,0,0,0
JD Unadkat,13,5,38.46153846,1,0,0,0,0
SB Joshi,16,6,37.5,3,0,0,0,0
D Kalyankrishna,8,3,37.5,3,0,0,0,0
S Nadeem,71,26,36.61971831,1.625,0,0,1,0
P Awana,14,5,35.71428571,1,0,0,0,0
PP Ojha,45,16,35.55555556,0.842105263,0,0,0,0
TD Paine,29,10,34.48275862,5,0,0,0,0
DJ Muthuswami,3,1,33.33333333,1,0,0,0,0
BE Hendricks,3,1,33.33333333,0.5,0,0,0,0
P Parameswaran,3,1,33.33333333,0.5,0,0,0,0
DP Nannes,13,4,30.76923077,2,0,0,0,0
RS Gavaskar,8,2,25,2,0,0,0,0
Shoaib Akhtar,8,2,25,2,0,0,0,0
A Singh,10,2,20,0.4,0,0,0,0
Mohammad Ashraful,12,2,16.66666667,2,0,0,0,0
Shoaib Ahmed,6,1,16.66666667,0.333333333,0,0,0,0
ND Doshi,13,0,0,0,0,0,0,0
S Ladda,10,0,0,0,0,0,0,0
Abdur Razzak,2,0,0,0,0,0,0,0
IC Pandey,2,0,0,0,0,0,0,0
L Ablish,2,0,0,0,0,0,0,0
RR Bhatkal,2,0,0,0,0,0,0,0
C Nanda,1,0,0,0,0,0,0,0
M Ashwin,1,0,0,0,0,0,0,0
S Kaushik,1,0,0,0,0,0,0,0
Sunny Gupta,1,0,0,0,0,0,0,0
U Kaul,1,0,0,0,0,0,0,0
V Pratap Singh,1,0,0,0,0,0,0,0
YA Abdulla,1,0,0,0,0,0,0,0
