batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
RR Sarwan,0.022044088,0.016051011,0.401098901,0.490500463,0,0,0.012219959,0.003831418,0.015873016,0.22900682
UBT Chand,0.089607787,0.065963061,0.409463148,0.403151066,0.025641026,0,0.065173116,0.034482759,0.047619048,0.228869686
MC Juneja,0.038076152,0.027484609,0.39978678,0.479941745,0,0,0.022403259,0.003831418,0.015873016,0.228266859
B Chipli,0.073003149,0.061565523,0.46875,0.358356503,0.025641026,0,0.059063136,0.026819923,0.031746032,0.227830808
MJ Clarke,0.027197252,0.021547933,0.4375,0.438986716,0,0,0.024439919,0,0.015873016,0.226510554
M Klinger,0.022044088,0.016051011,0.401098901,0.490500463,0,0,0.018329939,0,0,0.226320569
PA Reddy,0.047523619,0.036059807,0.420872541,0.440778499,0,0,0.030549898,0.007662835,0.015873016,0.225692311
J Suchith,0.00916118,0.01055409,0.623376623,0.258016682,0,0,0.00814664,0.007662835,0.015873016,0.225629812
Y Nagar,0.077297452,0.062664908,0.45071165,0.382993513,0,0,0.040733198,0.034482759,0.015873016,0.22473707
K Upadhyay,0.002290295,0.002638522,0.571428571,0.322520853,0,0,0.00203666,0,0,0.223949764
PJ Cummins,0.006584598,0.007255937,0.589285714,0.295644115,0,0,0.010183299,0,0,0.22285349
RE Levi,0.020898941,0.01824978,0.480694981,0.371794872,0.025641026,0,0.020366599,0.01532567,0.015873016,0.222181534
AA Jhunjhunwala,0.062124248,0.047713281,0.426605505,0.388816806,0.025641026,0,0.040733198,0.019157088,0.031746032,0.221357499
P Sahu,0.003435442,0.004177661,0.626373626,0.255329008,0,0,0.00203666,0.003831418,0,0.221352239
CM Gautam,0.044947037,0.037159191,0.45840868,0.34939759,0,0,0.038696538,0.022988506,0.047619048,0.219764234
SP Goswami,0.074148297,0.052990325,0.397252747,0.404830862,0.025641026,0,0.052953157,0.007662835,0.031746032,0.218845437
VH Zol,0.007157171,0.006376429,0.478021978,0.389712697,0,0,0.00610998,0.003831418,0,0.21846006
SP Jackson,0.008588606,0.008355321,0.525345622,0.340438678,0,0,0.010183299,0,0,0.218217127
AS Raut,0.048955053,0.042656113,0.483388704,0.325880445,0,0,0.026476578,0.026819923,0.031746032,0.217273523
K Rabada,0.01918122,0.012093228,0.346638655,0.492740192,0,0,0.010183299,0.003831418,0.015873016,0.215345906
RJ Quiney,0.029773833,0.022647318,0.420408163,0.395471998,0.025641026,0,0.026476578,0.011494253,0.015873016,0.213817255
KMDN Kulasekara,0.000572574,0.001099384,0.714285714,0.134383689,0,0,0.00203666,0,0,0.21244149
N Saini,0.040652734,0.030782762,0.41958042,0.376274328,0.025641026,0,0.032586558,0,0.031746032,0.212295347
BR Dunk,0.01002004,0.008795075,0.476190476,0.358356503,0,0,0.014256619,0,0,0.210785899
R Sathish,0.067277412,0.059366755,0.49031477,0.302363299,0,0,0.044806517,0.022988506,0,0.210536368
DH Yagnik,0.040366447,0.037379068,0.513078471,0.268767377,0,0,0.046843177,0.007662835,0.031746032,0.209808934
Anirudh Singh,0.019467506,0.013852243,0.391304348,0.423308619,0,0,0.012219959,0.003831418,0.015873016,0.209488812
NL McCullum,0.006298311,0.005716799,0.48447205,0.34939759,0,0,0,0.003831418,0,0.209452412
RD Chahar,0.01002004,0.011873351,0.642857143,0.18141798,0,0,0.00610998,0.011494253,0,0.208776834
D Salunkhe,0.015745777,0.016930519,0.589285714,0.229945423,0,0,0.010183299,0.01532567,0,0.208728924
Sunny Singh,0.008588606,0.009454705,0.594470046,0.231139944,0,0,0.012219959,0.003831418,0,0.208723594
S Anirudha,0.034354423,0.029903254,0.481700118,0.304603027,0.025641026,0,0.022403259,0.026819923,0.015873016,0.208084133
DR Martyn,0.007157171,0.004177661,0.313186813,0.510658017,0,0,0.00203666,0,0,0.206674866
