match_id,bowler,over,total_runs
16,P Kumar,20,8
16,RA Jadeja,7,7
16,RA Jadeja,9,15
16,RA Jadeja,11,3
16,RA Jadeja,16,9
16,SL Malinga,2,12
16,SL Malinga,6,15
16,SL Malinga,14,12
16,SL Malinga,19,12
17,AF Milne,1,3
17,AF Milne,3,17
17,AF Milne,18,2
17,AF Milne,20,10
17,BA Stokes,6,3
17,BA Stokes,8,4
17,BA Stokes,16,10
17,BA Stokes,20,3
17,DT Christian,5,4
17,DT Christian,10,4
17,DT Christian,12,6
17,DT Christian,17,13
17,Imran Tahir,7,7
17,Imran Tahir,9,10
17,Imran Tahir,11,5
17,Imran Tahir,13,5
17,JD Unadkat,1,7
17,JD Unadkat,3,7
17,JD Unadkat,15,5
17,JD Unadkat,19,6
17,P Negi,7,6
17,P Negi,9,1
17,P Negi,11,6
17,S Aravind,4,13
17,S Aravind,6,5
17,S Aravind,15,8
17,S Aravind,17,3
17,S Badree,2,8
17,S Badree,8,7
17,S Badree,10,10
17,S Badree,12,7
17,SN Thakur,2,11
17,SN Thakur,4,10
17,SN Thakur,14,4
17,SN Thakur,18,10
17,SR Watson,5,9
17,SR Watson,13,6
17,SR Watson,16,10
17,SR Watson,19,19
17,YS Chahal,14,11
18,A Mishra,7,3
18,A Mishra,9,14
18,A Mishra,20,9
18,AD Mathews,11,5
18,AD Mathews,13,11
18,C de Grandhomme,10,12
18,CH Morris,4,7
18,CH Morris,15,10
18,CH Morris,17,6
18,CH Morris,19,7
18,CR Woakes,2,9
18,CR Woakes,9,8
18,CR Woakes,11,4
18,CR Woakes,20,11
18,Kuldeep Yadav,5,9
18,Kuldeep Yadav,12,11
18,Kuldeep Yadav,16,9
18,Mohammed Shami,8,9
18,Mohammed Shami,10,13
18,Mohammed Shami,12,6
18,NM Coulter-Nile,1,10
18,NM Coulter-Nile,7,6
18,NM Coulter-Nile,15,1
18,NM Coulter-Nile,19,5
18,PJ Cummins,2,13
18,PJ Cummins,6,15
18,PJ Cummins,16,6
18,PJ Cummins,18,6
18,SP Narine,4,5
18,SP Narine,6,3
18,SP Narine,14,5
18,SP Narine,18,7
18,UT Yadav,3,17
18,UT Yadav,8,4
18,UT Yadav,13,6
18,UT Yadav,17,26
18,Z Khan,1,6
18,Z Khan,3,2
18,Z Khan,5,6
18,Z Khan,14,15
19,AR Patel,10,4
19,AR Patel,12,9
19,AR Patel,14,10
19,AR Patel,18,10
19,B Kumar,1,6
19,B Kumar,3,2
19,B Kumar,17,7
19,B Kumar,19,5
19,BB Sran,2,9
19,BB Sran,15,20
19,I Sharma,2,6
19,I Sharma,4,3
19,I Sharma,6,4
19,I Sharma,15,12
19,KC Cariappa,7,11
19,KC Cariappa,9,8
19,KC Cariappa,11,12
19,KC Cariappa,16,7
19,MC Henriques,7,2
19,MC Henriques,14,4
19,MM Sharma,5,4
19,MM Sharma,8,2
19,MM Sharma,17,9
19,MM Sharma,19,10
19,Mohammad Nabi,5,10
19,Mohammad Nabi,9,4
19,Mohammad Nabi,11,1
19,Mohammad Nabi,13,13
19,Rashid Khan,6,19
19,Rashid Khan,10,1
19,Rashid Khan,12,4
19,Rashid Khan,16,21
19,S Kaul,4,5
19,S Kaul,8,4
19,S Kaul,18,12
19,S Kaul,20,5
19,Sandeep Sharma,1,3
19,Sandeep Sharma,3,9
19,Sandeep Sharma,13,11
19,Sandeep Sharma,20,15
20,AF Milne,7,10
20,AF Milne,9,17
20,AF Milne,13,14
20,AF Milne,20,4
20,AJ Tye,5,3
20,AJ Tye,9,8
20,AJ Tye,17,6
20,AJ Tye,19,18
20,Basil Thampi,2,5
20,Basil Thampi,4,8
20,Basil Thampi,13,6
20,Basil Thampi,18,12
20,DR Smith,11,17
20,DS Kulkarni,1,8
20,DS Kulkarni,3,12
20,DS Kulkarni,12,10
20,DS Kulkarni,16,7
20,P Negi,1,1
20,P Negi,5,11
20,P Negi,10,8
20,P Negi,12,1
20,RA Jadeja,6,9
20,RA Jadeja,8,21
20,RA Jadeja,14,10
20,RA Jadeja,20,17
20,S Aravind,3,19
20,S Aravind,11,3
20,S Aravind,17,10
20,S Aravind,19,21
20,S Kaushik,7,9
20,S Kaushik,10,9
20,S Kaushik,15,18
20,SR Watson,8,11
20,SR Watson,14,13
20,TM Head,16,7
20,TM Head,18,11
20,YS Chahal,2,3
20,YS Chahal,4,14
20,YS Chahal,6,9
20,YS Chahal,15,5
21,A Mishra,10,7
21,A Mishra,12,7
21,A Mishra,14,19
21,AD Mathews,7,16
21,AD Mathews,16,13
21,AD Mathews,18,12
21,B Kumar,1,2
21,B Kumar,3,9
21,B Kumar,17,10
21,B Kumar,19,10
21,CH Morris,2,2
21,CH Morris,4,10
21,CH Morris,17,10
21,CH Morris,19,4
21,J Yadav,1,10
21,J Yadav,3,6
21,MC Henriques,8,14
21,MC Henriques,13,10
21,MC Henriques,16,8
21,Mohammed Siraj,2,13
21,Mohammed Siraj,5,15
21,Mohammed Siraj,7,5
21,Mohammed Siraj,14,6
21,PJ Cummins,6,8
21,PJ Cummins,8,9
21,PJ Cummins,11,11
21,PJ Cummins,13,10
21,Rashid Khan,6,9
21,Rashid Khan,9,5
21,Rashid Khan,12,5
21,Rashid Khan,15,16
21,S Kaul,4,8
21,S Kaul,11,3
21,S Kaul,18,13
21,S Kaul,20,8
21,Yuvraj Singh,10,7
21,Z Khan,5,3
21,Z Khan,9,9
21,Z Khan,15,8
21,Z Khan,20,17
22,AR Patel,7,5
22,AR Patel,9,16
22,HH Pandya,1,8
22,HH Pandya,3,11
22,Harbhajan Singh,4,6
22,Harbhajan Singh,8,6
22,I Sharma,2,11
22,I Sharma,4,17
22,I Sharma,11,11
22,I Sharma,15,21
22,JJ Bumrah,10,6
22,JJ Bumrah,14,11
22,JJ Bumrah,17,4
22,JJ Bumrah,19,10
22,KH Pandya,7,6
22,KH Pandya,9,5
22,KH Pandya,11,11
22,KH Pandya,13,9
22,MJ McClenaghan,2,7
22,MJ McClenaghan,6,7
22,MJ McClenaghan,15,28
22,MJ McClenaghan,18,5
22,MM Sharma,5,17
22,MM Sharma,14,4
22,MM Sharma,16,8
22,MP Stoinis,6,14
22,MP Stoinis,8,14
22,SL Malinga,5,7
22,SL Malinga,12,11
22,SL Malinga,16,22
22,SL Malinga,20,18
22,Sandeep Sharma,1,10
22,Sandeep Sharma,3,13
22,Sandeep Sharma,13,16
22,Swapnil Singh,10,6
22,Swapnil Singh,12,16
23,Basil Thampi,3,15
23,Basil Thampi,16,8
23,Basil Thampi,18,14
23,Basil Thampi,20,7
23,CR Woakes,7,7
23,CR Woakes,9,13
23,DR Smith,8,6
23,DR Smith,10,8
23,DS Kulkarni,5,10
23,DS Kulkarni,11,13
23,JP Faulkner,2,17
23,JP Faulkner,12,7
23,JP Faulkner,14,10
23,JP Faulkner,17,5
23,Kuldeep Yadav,10,3
23,Kuldeep Yadav,12,9
23,Kuldeep Yadav,14,9
23,Kuldeep Yadav,18,12
23,NM Coulter-Nile,4,16
23,NM Coulter-Nile,8,4
23,NM Coulter-Nile,17,16
23,NM Coulter-Nile,19,5
23,P Kumar,1,12
23,P Kumar,19,12
23,RA Jadeja,7,6
23,RA Jadeja,9,11
23,RA Jadeja,13,6
23,RA Jadeja,15,9
23,SK Raina,4,3
23,SK Raina,6,8
23,SP Narine,2,16
23,SP Narine,5,6
23,SP Narine,11,11
23,SP Narine,16,9
23,Shakib Al Hasan,1,9
23,Shakib Al Hasan,3,15
23,Shakib Al Hasan,6,10
23,UT Yadav,13,5
23,UT Yadav,15,13
24,A Mishra,7,8
24,A Mishra,9,1
24,A Mishra,13,2
24,A Mishra,15,8
24,CH Morris,2,12
24,CH Morris,6,1
24,CH Morris,17,10
24,CH Morris,20,10
24,HH Pandya,7,5
24,HH Pandya,9,10
24,HH Pandya,20,10
24,Harbhajan Singh,8,6
24,Harbhajan Singh,10,13
24,Harbhajan Singh,12,2
24,Harbhajan Singh,14,5
24,JJ Bumrah,6,2
24,JJ Bumrah,11,10
24,JJ Bumrah,17,4
24,JJ Bumrah,19,5
24,K Rabada,1,8
24,K Rabada,4,8
24,K Rabada,11,6
24,K Rabada,19,9
24,KH Pandya,15,8
24,MG Johnson,1,9
24,MG Johnson,3,5
24,MG Johnson,5,0
24,MG Johnson,13,9
24,MJ McClenaghan,2,5
24,MJ McClenaghan,4,2
24,MJ McClenaghan,16,6
24,MJ McClenaghan,18,12
24,PJ Cummins,8,4
24,PJ Cummins,10,7
24,PJ Cummins,16,8
24,PJ Cummins,18,3
24,Z Khan,3,9
24,Z Khan,5,10
24,Z Khan,12,8
24,Z Khan,14,10
25,B Kumar,1,1
25,B Kumar,3,10
25,B Kumar,17,9
25,B Kumar,19,19
25,BA Stokes,5,6
25,BA Stokes,12,13
25,Bipul Sharma,2,4
25,Bipul Sharma,4,9
25,Bipul Sharma,8,3
25,Bipul Sharma,10,15
25,DT Christian,8,2
25,DT Christian,10,8
25,DT Christian,13,2
25,DT Christian,16,9
25,Imran Tahir,9,2
25,Imran Tahir,11,5
25,Imran Tahir,15,16
25,JD Unadkat,1,7
25,JD Unadkat,3,8
25,JD Unadkat,17,12
25,JD Unadkat,19,15
25,MC Henriques,12,4
25,Mohammed Siraj,5,13
25,Mohammed Siraj,13,7
25,Mohammed Siraj,16,6
25,Mohammed Siraj,18,17
25,Rashid Khan,7,3
25,Rashid Khan,9,7
25,Rashid Khan,11,4
25,Rashid Khan,14,3
25,S Kaul,6,18
25,S Kaul,15,14
25,S Kaul,20,13
25,SN Thakur,6,11
25,SN Thakur,14,12
25,SN Thakur,18,12
25,SN Thakur,20,15
25,Washington Sundar,2,5
25,Washington Sundar,4,8
25,Washington Sundar,7,8
26,AJ Tye,6,14
26,AJ Tye,10,8
26,AJ Tye,16,8
26,AJ Tye,18,6
26,AR Patel,9,7
26,AR Patel,11,8
26,AR Patel,13,7
26,AR Patel,15,15
26,Basil Thampi,5,11
26,Basil Thampi,12,13
26,Basil Thampi,17,9
26,Basil Thampi,20,12
26,DR Smith,19,18
26,KC Cariappa,5,7
26,KC Cariappa,7,8
26,KC Cariappa,12,5
26,KC Cariappa,14,4
26,MM Sharma,2,8
26,MM Sharma,6,7
26,MM Sharma,16,7
26,MM Sharma,19,5
26,MP Stoinis,10,12
26,NB Singh,2,5
26,NB Singh,4,3
26,RA Jadeja,7,3
26,RA Jadeja,9,13
26,RA Jadeja,13,10
26,RA Jadeja,15,7
26,SK Raina,3,6
26,SS Agarwal,1,11
26,SS Agarwal,8,14
26,SS Agarwal,11,3
26,SS Agarwal,14,14
26,Sandeep Sharma,1,6
26,Sandeep Sharma,3,11
26,Sandeep Sharma,17,14
26,Sandeep Sharma,20,9
26,T Natarajan,4,11
26,T Natarajan,8,5
26,T Natarajan,18,6
27,C de Grandhomme,8,3
27,C de Grandhomme,10,1
27,CR Woakes,7,1
27,CR Woakes,9,5
27,NM Coulter-Nile,1,3
