bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
MP Stoinis,62,588,9.483870967741936,10,62,12,0.1935483870967742,0,0.0,9,5.0
MR Marsh,54,420,7.777777777777778,13,54,10,0.1851851851851852,2,0.037037037037037035,12,
MS Gony,148,1317,8.898648648648651,20,148,32,0.21621621621621626,5,0.03378378378378378,81,
Mandeep Singh,2,26,13.0,0,2,0,0.0,0,0.0,0,0.0
Mashrafe Mortaza,4,59,14.75,2,4,2,0.5,2,0.5,2,
Mohammad Asif,32,307,9.59375,10,32,6,0.1875,1,0.03125,15,
Mohammad Hafeez,10,71,7.1,0,10,6,0.6,1,0.1,0,
Mohammad Nabi,46,314,6.826086956521738,3,46,0,0.0,0,0.0,22,9.0
Mohammed Shami,173,1599,9.242774566473988,50,173,57,0.3294797687861272,3,0.017341040462427744,79,25.0
Mohammed Siraj,93,900,9.677419354838712,36,93,37,0.3978494623655914,2,0.021505376344086027,23,20.0
Mustafizur Rahman,92,697,7.576086956521738,39,92,11,0.11956521739130435,2,0.021739130434782608,25,9.0
N Rana,16,124,7.75,1,16,3,0.1875,0,0.0,3,7.0
N Saini,48,434,9.041666666666666,15,48,6,0.125,5,0.10416666666666667,23,12.0
NB Singh,4,18,4.5,0,4,1,0.25,0,0.0,4,
ND Doshi,10,79,7.9,2,10,1,0.1,0,0.0,3,
NJ Rimmington,3,20,6.666666666666668,0,3,0,0.0,0,0.0,2,
NL McCullum,5,35,7.0,0,5,0,0.0,0,0.0,2,
NLTC Perera,119,1031,8.663865546218487,41,119,15,0.12605042016806722,3,0.025210084033613446,30,
NM Coulter-Nile,95,739,7.778947368421052,24,95,16,0.16842105263157894,7,0.07368421052631577,48,
O Thomas,10,94,9.4,2,10,1,0.1,2,0.2,6,5.0
P Amarnath,22,241,10.954545454545457,3,22,0,0.0,0,0.0,1,
P Awana,125,1046,8.368,29,125,23,0.184,6,0.048,45,
P Krishna,69,685,9.92753623188406,27,69,18,0.2608695652173913,4,0.05797101449275361,31,16.0
P Kumar,424,3342,7.882075471698112,102,424,144,0.33962264150943394,1,0.0023584905660377358,262,
P Negi,121,959,7.9256198347107425,15,121,17,0.14049586776859505,0,0.0,7,4.0
P Parameswaran,27,226,8.37037037037037,7,27,4,0.14814814814814814,1,0.037037037037037035,6,
P Prasanth,1,18,18.0,0,1,0,0.0,0,0.0,0,
P R Barman,4,56,14.0,1,4,0,0.0,0,0.0,0,0.0
P Raj,5,60,12.0,0,5,3,0.6,0,0.0,2,1.0
P Sahu,18,152,8.444444444444445,3,18,2,0.1111111111111111,0,0.0,1,
P Suyal,16,154,9.625,4,16,7,0.4375,4,0.25,10,
